year,posts,likes,reposts,comments,views,avg_likes,avg_views
2015,582,3023,784,242,0,5.2,0.0
2016,613,3322,829,331,0,5.4,0.0
2017,516,3226,641,406,158819,6.3,307.8
2018,564,5048,806,758,205719,9.0,364.8
2019,846,13459,2093,2452,481378,15.9,569.0
2020,772,11204,1876,1214,347345,14.5,449.9
2021,719,15932,3550,798,378541,22.2,526.5
2022,783,32077,7832,2715,849063,41.0,1084.4
2023,788,45376,8087,2123,1003864,57.6,1273.9
2024,670,17026,4136,1049,697967,25.4,1041.7
2025,542,15075,3040,987,684397,27.8,1262.7
2026,211,5506,1702,298,272696,26.1,1292.4
