archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
000263,<161227015377.23782.7528286018784493143.generated@prod2.harmonylists.io>,000255,1992-06-09 11:37:00+00:00,1992,6,https://list.indology.info/pipermail/indology/1992-June/000263.html,Surenda Gambhir,Chaulukya period inscriptions,General scholarly discussion,general discussion,,epig,1,subject_pattern,register:epig=inscriptions,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000265,<161227015379.23782.13672219337072842133.generated@prod2.harmonylists.io>,000265,1992-06-09 18:51:25+00:00,1992,6,https://list.indology.info/pipermail/indology/1992-June/000265.html,INDINST at UK.AC.OXFORD.VAX,Chaulukya period inscriptions,General scholarly discussion,general discussion,,epig,1,subject_pattern,register:epig=inscriptions,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000266,<161227015381.23782.15151649884072011276.generated@prod2.harmonylists.io>,000265,1992-06-10 12:58:18+00:00,1992,6,https://list.indology.info/pipermail/indology/1992-June/000266.html,Dominik Wujastyk,Chaulukya period inscriptions,General scholarly discussion,general discussion,,epig,1,subject_pattern,register:epig=inscriptions,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
004461,<161227023366.23782.14586604966063852676.generated@prod2.harmonylists.io>,004443,1996-03-14 20:09:25+00:00,1996,3,https://list.indology.info/pipermail/indology/1996-March/004461.html,Madhav Deshpande,"""Discovered"" Khajuraho inscription",Manuscripts and epigraphy,general discussion,,epig,1,subject_pattern,register:epig=inscription,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
004667,<161227023777.23782.3459074505682453854.generated@prod2.harmonylists.io>,004667,1996-04-12 18:02:42+00:00,1996,4,https://list.indology.info/pipermail/indology/1996-April/004667.html,Enrica Garzilli,newly discovered inscription,Manuscripts and epigraphy,general discussion,,epig,1,subject_pattern,register:epig=inscription,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007069,<161227028575.23782.17576985915113202448.generated@prod2.harmonylists.io>,007066,1997-02-26 16:54:08+00:00,1997,2,https://list.indology.info/pipermail/indology/1997-February/007069.html,Anshuman Pandey,Epigraphy,General scholarly discussion,general discussion,,epig,1,subject_pattern,register:epig=Epigraphy,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007078,<161227028562.23782.7962194897627748658.generated@prod2.harmonylists.io>,007071,1997-02-26 13:28:28+00:00,1997,2,https://list.indology.info/pipermail/indology/1997-February/007078.html,Ulrike Niklas,Epigraphy,General scholarly discussion,general discussion,,epig,1,subject_pattern,register:epig=Epigraphy,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007074,<161227028557.23782.15345546458779644314.generated@prod2.harmonylists.io>,006983,1997-02-26 15:00:47+00:00,1997,2,https://list.indology.info/pipermail/indology/1997-February/007074.html,jonathan.silk at wmich.edu,Epigraphy,General scholarly discussion,general discussion,,epig,1,subject_pattern,register:epig=Epigraphy,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007082,<161227028573.23782.8233557781032888072.generated@prod2.harmonylists.io>,007082,1997-02-26 16:22:44+00:00,1997,2,https://list.indology.info/pipermail/indology/1997-February/007082.html,John Newman (NC),Epigraphy,General scholarly discussion,general discussion,,epig,1,subject_pattern,register:epig=Epigraphy,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007238,<161227028828.23782.5317908263954687490.generated@prod2.harmonylists.io>,007238,1997-03-07 16:44:33+00:00,1997,3,https://list.indology.info/pipermail/indology/1997-March/007238.html,Narahari Achar,Epigraphy,General scholarly discussion,general discussion,,epig,1,subject_pattern,register:epig=Epigraphy,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
010382,<161227034814.23782.15885106500852221780.generated@prod2.harmonylists.io>,010381,1998-01-18 19:47:43+00:00,1998,1,https://list.indology.info/pipermail/indology/1998-January/010382.html,Vaidix,Telegu Inscription,Manuscripts and epigraphy,general discussion,,epig,1,subject_pattern,register:epig=Inscription,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
010400,<161227034852.23782.2144884246175730012.generated@prod2.harmonylists.io>,010366,1998-01-19 17:20:21+00:00,1998,1,https://list.indology.info/pipermail/indology/1998-January/010400.html,winnie,Telegu Inscription,Manuscripts and epigraphy,general discussion,,epig,1,subject_pattern,register:epig=Inscription,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
