archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
000192,<161227015242.23782.5624893872738425947.generated@prod2.harmonylists.io>,000192,1992-02-15 19:43:30+00:00,1992,2,https://list.indology.info/pipermail/indology/1992-February/000192.html,Dominik Wujastyk,5.0679 Qs: Pali E-Texts; COMPress; Bergen Libraries... (5/109),Buddhism and Jainism,general discussion,V,,1,subject_pattern,state:V=Pali,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000193,<161227015244.23782.514155093325937639.generated@prod2.harmonylists.io>,000193,1992-02-16 21:22:00+00:00,1992,2,https://list.indology.info/pipermail/indology/1992-February/000193.html,JHUBBARD at EARN.SMITH,5.0679 Qs: Pali E-Texts; COMPress; Bergen Libraries... (5/109,Buddhism and Jainism,general discussion,V,,1,subject_pattern,state:V=Pali,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000379,<161227015590.23782.14295561198365112478.generated@prod2.harmonylists.io>,000379,1993-01-16 14:48:08+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000379.html,Richard P Hayes,Pali canon on disk?,Buddhism and Jainism,general discussion,V,,1,subject_pattern,state:V=Pali,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000381,<161227015594.23782.1742160795909479497.generated@prod2.harmonylists.io>,000380,1993-01-16 19:01:06+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000381.html,JHUBBARD at smith.smith.edu,Pali canon on disk?,Buddhism and Jainism,general discussion,V,,1,subject_pattern,state:V=Pali,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000495,<161227015805.23782.3273350685528765960.generated@prod2.harmonylists.io>,000495,1993-05-07 16:22:00+00:00,1993,5,https://list.indology.info/pipermail/indology/1993-May/000495.html,RCJ at automation.university-library.cambridge.ac.uk,Announcement of a new edition of a Mongolian translation of the Kanjur section of the Tripitaka...,Buddhism and Jainism,philological discussion,V,,1,subject_pattern,state:V=Tripitaka,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000696,<161227016174.23782.15012825862815121638.generated@prod2.harmonylists.io>,000696,1993-09-29 21:34:19+00:00,1993,9,https://list.indology.info/pipermail/indology/1993-September/000696.html,ucgadkw at ucl.ac.uk,Pali Text Society fax or e-mail number???,Buddhism and Jainism,philological discussion,V,,1,subject_pattern,state:V=Pali,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000735,<161227016237.23782.14947692943327817696.generated@prod2.harmonylists.io>,000729,1993-10-25 09:51:00+00:00,1993,10,https://list.indology.info/pipermail/indology/1993-October/000735.html,JSHARMA,Pali Tipitaka on CD-ROM,Buddhism and Jainism,general discussion,V,,1,subject_pattern,state:V=Pali,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000750,<161227016274.23782.1282364809439540026.generated@prod2.harmonylists.io>,000750,1993-11-03 19:28:46+00:00,1993,11,https://list.indology.info/pipermail/indology/1993-November/000750.html,purushottama bilimoria,NEWS from Thailand/ENGLAND on the TIPITAKA,Buddhism and Jainism,general discussion,V,,1,subject_pattern,state:V=TIPITAKA,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000760,<161227016294.23782.5656979710074131982.generated@prod2.harmonylists.io>,000760,1993-11-10 14:56:55+00:00,1993,11,https://list.indology.info/pipermail/indology/1993-November/000760.html,banks at vax.oxford.ac.uk,Jain commercial life,Buddhism and Jainism,general discussion,V,jaina,2,subject_pattern,state:V=Jain; register:jaina=Jain,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001057,<161227016864.23782.17432594156135602.generated@prod2.harmonylists.io>,001057,1994-06-02 15:14:37+00:00,1994,6,https://list.indology.info/pipermail/indology/1994-June/001057.html,ucgadkw at ucl.ac.uk,new Sanskrit and Pali texts available,Buddhism and Jainism,general discussion,V,,1,subject_pattern,state:V=Pali,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
