archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
006790,<161227028039.23782.16993033667923633699.generated@prod2.harmonylists.io>,006790,1997-01-28 00:23:02+00:00,1997,1,https://list.indology.info/pipermail/indology/1997-January/006790.html,Tobias Grote-Beverborg,Svara for Yajurveda mantra,Veda and ritual,general discussion,I,yajus,2,subject_pattern,state:I=Yajurveda; register:yajus=Yajurveda,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006798,<161227028051.23782.3459666261825438648.generated@prod2.harmonylists.io>,006798,1997-01-29 07:12:46+00:00,1997,1,https://list.indology.info/pipermail/indology/1997-January/006798.html,Rebecca Manring,Svara for Yajurveda mantra,Veda and ritual,general discussion,I,yajus,2,subject_pattern,state:I=Yajurveda; register:yajus=Yajurveda,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
020798,<161227057345.23782.2644231014738999677.generated@prod2.harmonylists.io>,020641,2000-03-23 01:22:45+00:00,2000,3,https://list.indology.info/pipermail/indology/2000-March/020798.html,Michael Witzel,Bibliographic information needed: Black Yajur Veda,Bibliographic requests,general discussion,I,yajus,2,subject_pattern,state:I=Veda; register:yajus=Yajur,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
024801,<161227066211.23782.3544126463104914018.generated@prod2.harmonylists.io>,024801,2001-01-02 00:43:27+00:00,2001,1,https://list.indology.info/pipermail/indology/2001-January/024801.html,Sudalaimuthu Palaniappan,"The white yajurveda and the black yajurveda,yajnavalkya and yoga",Veda and ritual,general discussion,I,smrti; yajus,3,subject_pattern,state:I=yajurveda; register:yajus=yajurveda; register:smrti=yajnavalkya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
026744,<161227070606.23782.16504770768606292473.generated@prod2.harmonylists.io>,026744,2002-02-22 20:25:57+00:00,2002,2,https://list.indology.info/pipermail/indology/2002-February/026744.html,Dean Anderson,Kh instead of S in Yajur Veda,Veda and ritual,general discussion,I,yajus,2,subject_pattern,state:I=Veda; register:yajus=Yajur,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
026745,<161227070608.23782.2202116714457308879.generated@prod2.harmonylists.io>,026744,2002-02-24 18:13:17+00:00,2002,2,https://list.indology.info/pipermail/indology/2002-February/026745.html,Madhav Deshpande,Kh instead of S in Yajur Veda,Veda and ritual,general discussion,I,yajus,2,subject_pattern,state:I=Veda; register:yajus=Yajur,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
026748,<161227070629.23782.16753240445306208771.generated@prod2.harmonylists.io>,026748,2002-03-03 15:44:57+00:00,2002,3,https://list.indology.info/pipermail/indology/2002-March/026748.html,Fred Smith,Kh instead of S in Yajur Veda,Veda and ritual,general discussion,I,yajus,2,subject_pattern,state:I=Veda; register:yajus=Yajur,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
026751,<161227070620.23782.17891588407574019052.generated@prod2.harmonylists.io>,026748,2002-03-05 12:58:11+00:00,2002,3,https://list.indology.info/pipermail/indology/2002-March/026751.html,Madhav M. Deshpande,Kh instead of S in Yajur Veda,Veda and ritual,general discussion,I,yajus,2,subject_pattern,state:I=Veda; register:yajus=Yajur,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
026753,<161227070627.23782.10660447848054957826.generated@prod2.harmonylists.io>,026748,2002-03-05 16:58:51+00:00,2002,3,https://list.indology.info/pipermail/indology/2002-March/026753.html,Georg von Simson,Kh instead of S in Yajur Veda,Veda and ritual,general discussion,I,yajus,2,subject_pattern,state:I=Veda; register:yajus=Yajur,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
026754,<161227070622.23782.14245243391928615388.generated@prod2.harmonylists.io>,026754,2002-03-05 15:00:47+00:00,2002,3,https://list.indology.info/pipermail/indology/2002-March/026754.html,Georg von Simson,Kh instead of S in Yajur Veda,Veda and ritual,general discussion,I,yajus,2,subject_pattern,state:I=Veda; register:yajus=Yajur,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
